Country;Country Abbreviation;Cases;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Kazakhstan;KAZ;18765;61,6;61,6;70;53,5;55,8;59,9;60;0,049;0,014;9664,29;0,073918463;0,271028037;1;3
Romania;ROU;21182;64,7;64,7;70,6;58,3;69,4;63,6;55;0,0418;-0,0051;12301,13;0,183387014;0,218844985;2;4
Panama;PAN;21422;61,2;61,2;69;56,9;60,7;56,6;60;0,06;0,0161;15642;0,081047311;0,211267606;2;4
Nigeria;NGA;24077;44,3;44,3;45,8;43,8;54,4;38,4;30;0,2256;0,0267;1819,25;0,02747377;0,033802817;1;2
Philippines;PHL;24175;61,4;61,4;64,2;70,4;73,5;47,8;60;0,0532;0,0159;3104,26;0,051225688;0,279605263;1;2
Guatemala;GTM;24787;50,1;50,1;48,9;61,3;64,5;41,4;40;0,0267;0,0205;4545,02;0,048120725;0,19375;1;3
Ireland;IRL;25238;79,2;79,2;87,6;81,3;78,1;73,4;80;0,05;0,0108;79442,71;0,138658017;0,221518987;2;4
Poland;POL;28201;70,9;70,9;75,6;72,7;70,1;68,6;70;0,038;-0,0017;15540,97;0,175178168;0,286956522;1;4
Switzerland;CHE;30810;80,7;80,7;90,2;71,3;73,9;78,3;100;0,023;0,0094;82162,71;0,186232166;0,415;2;4
Oman;OMN;32394;61,3;61,3;72,8;38,3;45,7;64,9;45;0,0323;0,0546;16367,38;0,02392787;0,023255814;2;4
Singapore;SGP;33249;79,1;79,1;81,1;63,8;69,4;83,3;100;0,021;0,0136;62953,32;0,114633802;0,23;2;4
Kuwait;KWT;33823;62,4;62,4;66,4;59,8;61,1;54,7;90;0,021;0,0326;33297,59;0,025504724;0,046153846;2;4
Argentina;ARG;34146;52,8;52,8;61,6;45;53,6;49,3;5;0,092;0,01;11594,02;0,111177889;0,401574803;2;3
Portugal;PRT;35600;70,3;70,3;79,8;62,1;63,1;70,3;60;0,07;-0,0043;23108,79;0,219538575;0,386956522;2;4
Indonesia;IDN;36406;62,2;62,2;63,2;65,4;66,1;54,4;60;0,053;0,0115;3902,26;0,058571656;0,173913043;1;3
Ukraine;UKR;37241;49,4;49,4;42,6;53,1;47,4;48,7;30;0,083;-0,004;3657,51;0,164346864;0,205188679;2;2
Sweden;SWE;41248;81,5;81,5;93,7;75,2;79,6;77,8;100;0,0632;0,0074;55213,17;0,200955249;0,47277937;2;4
