Country;Country Abbreviation;Deaths;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Czechia;CZE;1;74,8;74,8;88,8;70,4;76,7;69;85;0,0227;0,0005;23038,75;0,194208769;0,253729639;2;4
Israel;ISR;1;69,5;69,5;69,2;75,4;77,5;67,1;80;0,043;0,0156;43732,92;0,11976986;0,233333333;1;4
Kuwait;KWT;1;62,4;62,4;66,4;59,8;61,1;54,7;90;0,021;0,0326;33297,59;0,025504724;0,046153846;2;4
Norway;NOR;1;83,6;83,6;97,3;78,3;80,5;76,2;100;0,037;0,009;74737,52;0,170492222;0,408284024;2;4
Germany;DEU;2;76,5;76,5;87,2;70,4;79,2;72;100;0,034;0,0024;48045,12;0,21461962;0,308885755;2;4
Iceland;ISL;2;74,8;74,8;90,2;60,2;72,1;71,6;75;0,03;0,0157;74185,47;0,147950926;0,380952381;2;4
Malaysia;MYS;2;68,6;68,6;65,2;71,3;68,4;69,6;70;0,0335;0,0153;11172,56;0,066717546;0,144144144;1;3
Namibia;NAM;2;51,5;51,5;64,5;35,4;41,4;50,2;45;0,2328;0,0221;5617,94;0,036360317;0,427083333;1;3
New_Zealand;NZL;2;79,3;79,3;85,8;75;77,5;76,8;90;0,0427;0,0192;41517,47;0,156524245;0,408333333;2;4
South_Africa;ZAF;2;55,3;55,3;61,3;44,4;56,2;52,3;45;0,2712;0,0168;6379,93;0,05318005;0,463476071;1;3
Austria;AUT;3;78,7;78,7;89,5;70;77,3;74,4;95;0,0485;0,0086;51162,88;0,190015665;0,393442623;2;4
Chile;CHL;3;66;66;77,2;59,2;65,9;64,9;75;0,0694;0,0088;16338,45;0,115298017;0,225806452;2;4
Qatar;QAT;3;63,1;63,1;70,6;42,1;51,9;66,5;85;0,0012;0,0364;71085,5;0,013700703;0,097560976;1;4
Saudi_Arabia;SAU;3;62,1;62,1;56,7;55,8;62,7;62,3;75;0,127;0,026;23418,07;0,03314088;0,198675497;1;4
Denmark;DNK;4;80,9;80,9;92,7;70,2;76,3;79,1;100;0,0536;0,0041;61158,57;0,198129526;0,391061453;2;4
Maldives;MDV;4;49,9;49,9;57,8;45,4;43,8;45,7;30;0,0607;0,0239;11906,95;0,037033446;0,045977011;1;3
Oman;OMN;4;61,3;61,3;72,8;38,3;45,7;64,9;45;0,0323;0,0546;16367,38;0,02392787;0,023255814;2;4
Russia;RUS;4;63,8;63,8;61,7;69,2;70,1;58,1;60;0,048;0,0044;11291,76;0,146747083;0,253729639;2;3
Singapore;SGP;4;79,1;79,1;81,1;63,8;69,4;83,3;100;0,021;0,0136;62953,32;0,114633802;0,23;2;4
Thailand;THA;4;65,1;65,1;58,9;69;70,2;61,1;65;0,0107;0,0032;7443,18;0,119008931;0,162;2;3
Uzbekistan;UZB;4;51;51;56,8;45;46,7;44,2;40;0,058;0,0152;1559,64;0,044191379;0,16;1;2
Belgium;BEL;5;70,1;70,1;80,2;61,5;70,5;71,4;85;0,0535;0,0056;45946,24;0,187887437;0,42;2;4
Spain;ESP;5;67,9;67,9;74,9;60,6;64,5;71,6;70;0,153;-0,0002;30414,37;0,193785075;0,44;2;4
Bahrain;BHR;6;56,9;56,9;56,5;37,1;44,2;65;40;0,0375;0,0306;24825,93;0,024263339;0,15;2;4
