Country;Country Abbreviation;Cases;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Indonesia;IDN;1155;62,2;62,2;63,2;65,4;66,1;54,4;60;0,053;0,0115;3902,26;0,058571656;0,173913043;1;3
Morocco;MAR;1448;56,8;56,8;69,2;42,5;51,3;53,5;55;0,098;0,0132;3264,98;0,070129048;0,205063291;1;2
Slovenia;SVN;1454;73,5;73,5;82,2;74;77,1;68,6;75;0,051;0,0015;25940,52;0,196068797;0,277777778;2;4
Hungary;HUN;1458;67,7;67,7;70,2;65,2;71;63,2;60;0,033;-0,0024;16438,63;0,191577254;0,125628141;2;4
Egypt;EGY;1560;52,9;52,9;55,6;54,2;54,5;48,1;35;0,0985;0,0207;2856,24;0,052297793;0,253729639;1;2
Bulgaria;BGR;2138;64,7;64,7;72;62,9;65,5;61,4;60;0,041;-0,0069;9754,49;0,210219144;0,258333333;2;3
Greece;GRC;2170;58,2;58,2;66,8;49,8;53,8;57,9;45;0,193;-0,0045;20268,64;0,216552721;0,206666667;2;4
Angola;AGO;2222;44,6;44,6;55,9;39,8;37,7;33,2;25;0,0817;0,0346;3484,56;0,022163736;0,3;1;2
Iraq;IRQ;2431;36,2;36,2;36,7;46,7;44,8;26,9;25;0,13;0,0299;5633,49;0,033235997;0,252279635;1;3
Argentina;ARG;2432;52,8;52,8;61,6;45;53,6;49,3;5;0,092;0,01;11594,02;0,111177889;0,401574803;2;3
Mexico;MEX;2439;58,7;58,7;58,3;59,4;65,3;52,2;60;0,0337;0,0132;9339,88;0,07223685;0,482;1;3
Philippines;PHL;2633;61,4;61,4;64,2;70,4;73,5;47,8;60;0,0532;0,0159;3104,26;0,051225688;0,279605263;1;2
Colombia;COL;2709;57,9;57,9;61,7;58,3;61,2;52,1;55;0,099;0,0139;6432,38;0,08478047;0,187134503;2;3
Sweden;SWE;2713;81,5;81,5;93,7;75,2;79,6;77,8;100;0,0632;0,0074;55213,17;0,200955249;0,47277937;2;4
Ecuador;ECU;2758;49,9;49,9;53,1;49,8;55,2;46,1;15;0,058;0,0173;6207,1;0,071572897;0,379562044;2;3
Zambia;ZMB;2810;43,9;43,9;52,2;35,6;42;39,7;20;0,077;0,0273;1582,78;0,02099678;0,179640719;1;2
Bangladesh;BGD;2948;54,1;54,1;58,9;66;63;38,1;40;0,0438;0,0109;1723,14;0,051583906;0,206303725;1;2
Peru;PER;2954;58,8;58,8;62,2;65,4;66,6;49,3;65;0,054;0,0106;7087,24;0,080883928;0,3;1;3
Netherlands;NLD;2994;79,6;79,6;86,5;70,8;78,1;78,3;100;0,0384;0,0047;53197,51;0,191961926;0,313333333;2;4
Italy;ITA;3089;65,9;65,9;75,3;60,6;67;63,7;60;0,106;-0,001;34931,48;0,227516796;0,357142857;2;4
Denmark;DNK;3107;80,9;80,9;92,7;70,2;76,3;79,1;100;0,0536;0,0041;61158,57;0,198129526;0,391061453;2;4
Nigeria;NGA;3145;44,3;44,3;45,8;43,8;54,4;38,4;30;0,2256;0,0267;1819,25;0,02747377;0,033802817;1;2
Romania;ROU;3183;64,7;64,7;70,6;58,3;69,4;63,6;55;0,0418;-0,0051;12301,13;0,183387014;0,218844985;2;4
Nicaragua;NIC;3439;45,2;45,2;44,8;43,3;45,1;39,8;25;0,0545;0,0104;2030,5;0,052474974;0,445652174;1;2
Kenya;KEN;3457;49,4;49,4;58,9;47,9;52,7;43,7;35;0,1152;0,028;1915,32;0,023391866;0,217765043;1;2
Panama;PAN;3751;61,2;61,2;69;56,9;60,7;56,6;60;0,06;0,0161;15642;0,081047311;0,211267606;2;4
Ukraine;UKR;3764;49,4;49,4;42,6;53,1;47,4;48,7;30;0,083;-0,004;3657,51;0,164346864;0,205188679;2;2
Luxembourg;LUX;3859;79,1;79,1;87,9;75,4;72,8;72,9;100;0,052;0,0209;114386,34;0,141831542;0,25;2;4
Brazil;BRA;3904;57,1;57,1;68,9;51,9;61;50;40;0,1225;0,0083;8857,55;0,089228378;0,150097466;2;3
Finland;FIN;4014;77,2;77,2;91,8;71,3;73,2;74,2;95;0,0735;0,0033;49553,57;0,217207875;0,47;2;4
India;IND;4067;61,9;61,9;65,5;66;66,6;53,8;55;0,065;0,0115;2010,92;0,061799556;0,143911439;1;2
Ireland;IRL;4273;79,2;79,2;87,6;81,3;78,1;73,4;80;0,05;0,0108;79442,71;0,138658017;0,221518987;2;4
Poland;POL;4413;70,9;70,9;75,6;72,7;70,1;68,6;70;0,038;-0,0017;15540,97;0,175178168;0,286956522;1;4
United_Kingdom;GBR;4427;78,6;78,6;82,7;72,1;76,5;76,5;85;0,041;0,0072;42949,71;0,183958657;0,32;2;4
Belgium;BEL;4475;70,1;70,1;80,2;61,5;70,5;71,4;85;0,0535;0,0056;45946,24;0,187887437;0,42;2;4
China;CHN;4528;68,3;68,3;66,4;71,7;74,4;58,8;80;0,0471;0,0047;9440,41;0,109208835;0,249411765;1;3
El_Salvador;SLV;4626;48,1;48,1;60,4;43,1;53,3;43,2;25;0,0455;0,005;4065,27;0,0828709;0,30952381;2;2
Democratic_Republic_of_the_Congo;COD;4636;56;56;62,7;54;54,4;47,5;40;0,0587;-0,0003;8334,44;0,030178406;0,253729639;1;1
Guatemala;GTM;4739;50,1;50,1;48,9;61,3;64,5;41,4;40;0,0267;0,0205;4545,02;0,048120725;0,19375;1;3
Portugal;PRT;5170;70,3;70,3;79,8;62,1;63,1;70,3;60;0,07;-0,0043;23108,79;0,219538575;0,386956522;2;4
Serbia;SRB;5318;55,5;55,5;62,4;45;51,8;58,1;50;0,127;-0,005;7229,53;0,183457927;0,376518219;2;3
South_Africa;ZAF;5350;55,3;55,3;61,3;44,4;56,2;52,3;45;0,2712;0,0168;6379,93;0,05318005;0,463476071;1;3
France;FRA;5423;73,7;73,7;80,6;67,5;75,6;71,5;90;0,091;0,0041;42625,78;0,200346247;0,396880416;2;4
Czechia;CZE;5569;74,8;74,8;88,8;70,4;76,7;69;85;0,0227;0,0005;23038,75;0,194208769;0,253729639;2;4
Ethiopia;ETH;5846;42,2;42,2;41,7;44,8;48,8;34,9;30;0,16;0,0254;779,28;0,03501133;0,387568556;1;1
Malaysia;MYS;5851;68,6;68,6;65,2;71,3;68,4;69,6;70;0,0335;0,0153;11172,56;0,066717546;0,144144144;1;3
Pakistan;PAK;5988;44,8;44,8;52,3;42,1;49,6;39,2;25;0,061;0,0194;1565,68;0,043127743;0,202346041;1;2
Norway;NOR;6415;83,6;83,6;97,3;78,3;80,5;76,2;100;0,037;0,009;74737,52;0,170492222;0,408284024;2;4
Australia;AUS;7079;74,7;74,7;85,4;69,6;74,3;72,4;100;0,053;0,0155;56734,78;0,156564752;0,304635762;2;4
Japan;JPN;7255;74,2;74,2;87,3;62,5;68,9;70,3;75;0,024;-0,0012;39293,18;0,275763699;0,101075269;2;4
Turkey;TUR;7402;55,5;55,5;55,3;48,5;58,4;56,1;40;0,137;0,0159;9142,39;0,084832129;0,174496644;2;3
Spain;ESP;7641;67,9;67,9;74,9;60,6;64,5;71,6;70;0,153;-0,0002;30414,37;0,193785075;0,44;2;4
Armenia;ARM;8216;53,2;53,2;61,5;41,5;45,1;56,1;40;0,163;0,0029;4234,58;0,112538177;0,234848485;2;3
Azerbaijan;AZE;8530;56,6;56,6;51,3;52,7;50;60,7;50;0,0493;0,0116;4721,98;0,061951828;0,168067227;2;3
Chile;CHL;8807;66;66;77,2;59,2;65,9;64,9;75;0,0694;0,0088;16338,45;0,115298017;0,225806452;2;4
Lebanon;LBN;8881;46,4;46,4;53,9;42,3;54,1;44,3;5;0,0669;0,0057;12341,6;0,070023681;0,046875;1;3
Paraguay;PRY;9077;52,1;52,1;61,1;53,5;55,9;42;50;0,0461;0,0131;5868,13;0,06430215;0,15;1;3
Canada;CAN;9595;79,5;79,5;92,3;68,5;73,1;75,9;100;0,058;0,0094;46341,05;0,172320067;0,289940828;2;4
Austria;AUT;9618;78,7;78,7;89,5;70;77,3;74,4;95;0,0485;0,0086;51162,88;0,190015665;0,393442623;2;4
Switzerland;CHE;9714;80,7;80,7;90,2;71,3;73,9;78,3;100;0,023;0,0094;82162,71;0,186232166;0,415;2;4
Saudi_Arabia;SAU;10484;62,1;62,1;56,7;55,8;62,7;62,3;75;0,127;0,026;23418,07;0,03314088;0,198675497;1;4
Israel;ISR;10743;69,5;69,5;69,2;75,4;77,5;67,1;80;0,043;0,0156;43732,92;0,11976986;0,233333333;1;4
Russia;RUS;13584;63,8;63,8;61,7;69,2;70,1;58,1;60;0,048;0,0044;11291,76;0,146747083;0,253729639;2;3
Kuwait;KWT;13802;62,4;62,4;66,4;59,8;61,1;54,7;90;0,021;0,0326;33297,59;0,025504724;0,046153846;2;4
Costa_Rica;CRI;15229;60,1;60,1;71,8;52,3;58,4;56,5;35;0,12;0,0106;12114,69;0,095498477;0,456140351;2;3
Kazakhstan;KAZ;15877;61,6;61,6;70;53,5;55,8;59,9;60;0,049;0,014;9664,29;0,073918463;0,271028037;1;3
Belarus;BLR;17489;51,8;51,8;56,2;38,1;39,5;59;30;0,0041;-0,0002;6301,23;0,148451482;0,4;2;3
Uzbekistan;UZB;18986;51;51;56,8;45;46,7;44,2;40;0,058;0,0152;1559,64;0,044191379;0,16;1;2
Oman;OMN;23481;61,3;61,3;72,8;38,3;45,7;64,9;45;0,0323;0,0546;16367,38;0,02392787;0,023255814;2;4
Germany;DEU;29212;76,5;76,5;87,2;70,4;79,2;72;100;0,034;0,0024;48045,12;0,21461962;0,308885755;2;4
Bahrain;BHR;30931;56,9;56,9;56,5;37,1;44,2;65;40;0,0375;0,0306;24825,93;0,024263339;0,15;2;4
Qatar;QAT;90778;63,1;63,1;70,6;42,1;51,9;66,5;85;0,0012;0,0364;71085,5;0,013700703;0,097560976;1;4
